p_t,ce,fl,gfl_tau0.3,gfl_q_tau0.3,gfl_tau1.0,gfl_q_tau1.0,gfl_tau2.0,gfl_q_tau2.0,gfl_tau5.0,gfl_q_tau5.0
0.7578492164611816,0.2554643154144287,0.04097725823521614,0.03982723131775856,0.0349440723657608,0.03734733164310455,0.032738715410232544,0.034233707934617996,0.029971998184919357,0.027129292488098145,0.02367018349468708
0.9991850256919861,0.0010044376831501722,2.0006378775860867e-09,2.000636989407667e-09,1.9998531719522816e-09,2.0006354350954325e-09,1.999851617640047e-09,2.000633436693988e-09,1.999849619238603e-09,2.0006267753558404e-09,1.999842957900455e-09
0.8041305541992188,0.2054644376039505,0.021991845220327377,0.021582895889878273,0.019479405134916306,0.020677268505096436,0.0186533872038126,0.019490867853164673,0.01757172867655754,0.01654687337577343,0.014890109188854694
0.9998948574066162,0.00011241147149121389,3.727722124036159e-12,3.727722124036159e-12,3.728163611160795e-12,3.727722124036159e-12,3.728163611160795e-12,3.727722124036159e-12,3.728163611160795e-12,3.727722124036159e-12,3.728163611160795e-12
0.9994906187057495,0.0005695068393833935,4.4315195957267406e-10,4.431518763059472e-10,4.4302636559301334e-10,4.4315173752806913e-10,4.4302622681513526e-10,4.431515432390398e-10,4.4302603252610595e-10,4.431509881275275e-10,4.43025449659018e-10
0.9999620914459229,4.11669971072115e-05,1.7747141375836634e-13,1.7747141375836634e-13,1.7741892482069088e-13,1.7747141375836634e-13,1.7741892482069088e-13,1.7747141375836634e-13,1.7741892482069088e-13,1.7747141375836634e-13,1.7741892482069088e-13
0.9999457597732544,5.7627134083304554e-05,5.085899149742668e-13,5.085899149742668e-13,5.085926796898066e-13,5.085899149742668e-13,5.085926796898066e-13,5.085899149742668e-13,5.085926796898066e-13,5.085899149742668e-13,5.085926796898066e-13
0.9997226595878601,0.0003337245143484324,7.699763743262977e-11,7.699763743262977e-11,7.698718051951658e-11,7.699762355484197e-11,7.698716664172878e-11,7.699762355484197e-11,7.698716664172878e-11,7.699759579926635e-11,7.698713194725926e-11
0.9999406337738037,6.344167923089117e-05,6.707320246088222e-13,6.707320246088222e-13,6.706076666196381e-13,6.707320246088222e-13,6.706076666196381e-13,6.707320246088222e-13,6.706076666196381e-13,6.707320246088222e-13,6.706076666196381e-13
0.9996813535690308,0.00038145409780554473,1.1618538769964104e-10,1.1618538769964104e-10,1.1615598760617019e-10,1.1618538076074714e-10,1.1615598066727628e-10,1.1618535300517152e-10,1.1615595291170067e-10,1.161853044329142e-10,1.1615589740054943e-10
0.9995287656784058,0.0005169326905161142,3.443267615477197e-10,3.4432670603656845e-10,3.442600371439397e-10,3.443266505254172e-10,3.442599816327885e-10,3.4432653950311476e-10,3.44259870610486e-10,3.44326234191783e-10,3.44259509788003e-10
0.9999639987945557,3.910563827957958e-05,1.5204742846719466e-13,1.5204742846719466e-13,1.5209591940935907e-13,1.5204742846719466e-13,1.5209591940935907e-13,1.5204742846719466e-13,1.5209591940935907e-13,1.5204742846719466e-13,1.5209591940935907e-13
0.7755290865898132,0.23587730526924133,0.03276212513446808,0.03196800500154495,0.02835916168987751,0.030237091705203056,0.0268046073615551,0.028026515617966652,0.024820508435368538,0.02281339466571808,0.02014799602329731
0.7256485819816589,0.30055543780326843,0.06099957227706909,0.0588238500058651,0.050547920167446136,0.054231252521276474,0.04653920978307724,0.04865402355790138,0.0416768454015255,0.036695659160614014,0.0312778577208519
0.9995237588882446,0.0005216633435338736,3.548978888545662e-10,3.5489780558783934e-10,3.54796303447813e-10,3.548977223211125e-10,3.5479619242551053e-10,3.548975835432344e-10,3.547961091587837e-10,3.548971672096002e-10,3.5479566506957383e-10
0.9996793270111084,0.0003839048440568149,1.184235071116646e-10,1.184235071116646e-10,1.1839795810431042e-10,1.18423479356089e-10,1.183979303487348e-10,1.1842346547830118e-10,1.18397916470947e-10,1.1842340996714995e-10,1.1839787483758357e-10
0.9608065485954285,0.053915299475193024,0.000245172850554809,0.0002449851599521935,0.00024045164173003286,0.00024454816593788564,0.0002400219236733392,0.00024392615887336433,0.0002394102921243757,0.00024207607202697545,0.00023759104078635573
0.21346193552017212,0.94413161277771,1.0736706256866455,0.8409550189971924,0.38002899289131165,0.5477120876312256,0.2366369515657425,0.35887810587882996,0.14835335314273834,0.1719164103269577,0.06627091765403748
0.17154176533222198,1.1173568964004517,1.326772928237915,1.0209572315216064,0.406296968460083,0.6516469120979309,0.2454841285943985,0.4226687252521515,0.15122151374816895,0.20155301690101624,0.06675126403570175
0.9999445676803589,5.9880068874917924e-05,5.519574055624921e-13,5.519574055624921e-13,5.519604955386836e-13,5.519574055624921e-13,5.519604955386836e-13,5.519574055624921e-13,5.519604955386836e-13,5.519574055624921e-13,5.519604955386836e-13
0.9998342990875244,0.00020009530999232084,1.6471293079467486e-11,1.6471293079467486e-11,1.6465922375585862e-11,1.6471293079467486e-11,1.6465922375585862e-11,1.647129134474401e-11,1.6465920640862386e-11,1.6471287875297058e-11,1.646591890613891e-11
0.9999755620956421,2.689143002498895e-05,4.817840733566808e-14,4.817840733566808e-14,4.817852930841249e-14,4.817840733566808e-14,4.817852930841249e-14,4.817840733566808e-14,4.817852930841249e-14,4.817840733566808e-14,4.817852930841249e-14
0.9999946355819702,5.90139734413242e-06,5.094704654387604e-16,5.094704654387604e-16,5.094707830761156e-16,5.094704654387604e-16,5.094707830761156e-16,5.094704654387604e-16,5.094707830761156e-16,5.094704654387604e-16,5.094707830761156e-16
0.6685587763786316,0.34795984625816345,0.1003132238984108,0.09519506245851517,0.07862520962953568,0.08484695851802826,0.06990759819746017,0.07307424396276474,0.06001150235533714,0.050540510565042496,0.041155051440000534
0.21874482929706573,0.9359601140022278,1.057476282119751,0.8302093744277954,0.38045457005500793,0.5422360301017761,0.23783685266971588,0.3558361828327179,0.14946599304676056,0.17060807347297668,0.06688802689313889
0.999919056892395,8.684202475706115e-05,1.7067730692307825e-12,1.7067730692307825e-12,1.7072658391181772e-12,1.7067730692307825e-12,1.7072658391181772e-12,1.7067730692307825e-12,1.7072658391181772e-12,1.7067730692307825e-12,1.7072658391181772e-12
0.8245906233787537,0.18410269916057587,0.015936249867081642,0.015697410330176353,0.014337441883981228,0.01516309566795826,0.01384486723691225,0.01445150375366211,0.013189051300287247,0.012624532915651798,0.011506392620503902
0.9999792575836182,2.2033384084352292e-05,2.8329975762216367e-14,2.8329975762216367e-14,2.828347195934621e-14,2.8329975762216367e-14,2.828347195934621e-14,2.8329975762216367e-14,2.828347195934621e-14,2.8329975762216367e-14,2.828347195934621e-14
0.7432276010513306,0.2715662717819214,0.048663824796676636,0.04713492467999458,0.04097171872854233,0.04386890307068825,0.03809143602848053,0.03982842341065407,0.034531597048044205,0.03086339496076107,0.026649510487914085
0.9999326467514038,7.517787889810279e-05,1.0218485129234733e-12,1.0218485129234733e-12,1.0209939447711203e-12,1.0218485129234733e-12,1.0209939447711203e-12,1.0218485129234733e-12,1.0209939447711203e-12,1.0218485129234733e-12,1.0209939447711203e-12
0.9999256134033203,7.960221410030499e-05,1.3198948227780005e-12,1.3198948227780005e-12,1.3193001378863922e-12,1.3198948227780005e-12,1.3193001378863922e-12,1.3198948227780005e-12,1.3193001378863922e-12,1.3198948227780005e-12,1.3193001378863922e-12
0.792930543422699,0.2174176424741745,0.025887733325362206,0.025351256132125854,0.02272840403020382,0.02417028322815895,0.02165766805410385,0.022638030350208282,0.020269114524126053,0.018909331411123276,0.016893791034817696
0.6962004899978638,0.31957268714904785,0.07844670861959457,0.07504983246326447,0.0632157027721405,0.06803156435489655,0.057198334485292435,0.059783440083265305,0.05013817921280861,0.043100230395793915,0.03590735048055649
0.9995904564857483,0.0004503900127019733,2.2659932263913163e-10,2.2659932263913163e-10,2.2655208264943383e-10,2.265992671279804e-10,2.265520271382826e-10,2.2659918386125355e-10,2.2655194387155575e-10,2.2659898957222424e-10,2.2655177733810206e-10
0.9999568462371826,4.559657827485353e-05,2.542563598897929e-13,2.542563598897929e-13,2.53989781680633e-13,2.542563598897929e-13,2.53989781680633e-13,2.542563598897929e-13,2.53989781680633e-13,2.542563598897929e-13,2.53989781680633e-13
0.9999099969863892,9.986069198930636e-05,2.424416570279142e-12,2.424416570279142e-12,2.422909095578518e-12,2.424416570279142e-12,2.422909095578518e-12,2.424416570279142e-12,2.422909095578518e-12,2.4244163534387075e-12,2.422909095578518e-12
0.999993085861206,7.644642209925223e-06,1.0963560364874196e-15,1.0963560364874196e-15,1.0945565149909778e-15,1.0963560364874196e-15,1.0945565149909778e-15,1.0963560364874196e-15,1.0945565149909778e-15,1.0963560364874196e-15,1.0945565149909778e-15
